SOURCE_PATH,DMCODE,ROLE,SPRITE_ID,STATUS,NOTE
5241.svg,5241,symbol,dm-5241,supported,
5228.svg,5228,symbol,dm-5228,supported,
2239.svg,2239,symbol,dm-2239,supported,
3401.svg,3401,symbol,dm-3401,supported,
3503.svg,3503,symbol,dm-3503,supported,
3504.svg,3504,symbol,dm-3504,supported,
3505.svg,3505,symbol,dm-3505,supported,
3507.svg,3507,symbol,dm-3507,supported,
3509.svg,3509,symbol,dm-3509,supported,
3510.svg,3510,symbol,dm-3510,supported,
3511.svg,3511,symbol,dm-3511,supported,
3514.svg,3514,symbol,dm-3514,supported,
3515.svg,3515,symbol,dm-3515,supported,
3516.svg,3516,symbol,dm-3516,supported,
3517.svg,3517,symbol,dm-3517,supported,
3519.svg,3519,symbol,dm-3519,supported,
3521.svg,3521,symbol,dm-3521,supported,
3522.svg,3522,symbol,dm-3522,supported,
3523.svg,3523,symbol,dm-3523,supported,
3524.svg,3524,symbol,dm-3524,supported,
3525.svg,3525,symbol,dm-3525,supported,
3526.svg,3526,symbol,dm-3526,supported,
3530.svg,3530,symbol,dm-3530,supported,
3531.svg,3531,symbol,dm-3531,supported,
3532.svg,3532,symbol,dm-3532,supported,
3534.svg,3534,symbol,dm-3534,supported,
3536.svg,3536,symbol,dm-3536,supported,
3545.svg,3545,symbol,dm-3545,supported,
3546.svg,3546,symbol,dm-3546,supported,
3548.svg,3548,symbol,dm-3548,supported,
3549.svg,3549,symbol,dm-3549,supported,
3550.svg,3550,symbol,dm-3550,supported,
3556.svg,3556,symbol,dm-3556,supported,
3560.svg,3560,symbol,dm-3560,supported,
4201.svg,4201,symbol,dm-4201,supported,
4202.svg,4202,symbol,dm-4202,supported,
4203.svg,4203,symbol,dm-4203,supported,
4204.svg,4204,symbol,dm-4204,supported,
4205.svg,4205,symbol,dm-4205,supported,
4207.svg,4207,symbol,dm-4207,supported,
4208.svg,4208,symbol,dm-4208,supported,
4219.svg,4219,symbol,dm-4219,supported,
4221.svg,4221,symbol,dm-4221,supported,
4222.svg,4222,symbol,dm-4222,supported,
4225.svg,4225,symbol,dm-4225,supported,
4228.svg,4228,symbol,dm-4228,supported,
4231.svg,4231,symbol,dm-4231,supported,
4234.svg,4234,symbol,dm-4234,supported,
4235.svg,4235,symbol,dm-4235,supported,
4236.svg,4236,symbol,dm-4236,supported,
4239.svg,4239,symbol,dm-4239,supported,
4241.svg,4241,symbol,dm-4241,supported,
4243.svg,4243,symbol,dm-4243,supported,
4251.svg,4251,symbol,dm-4251,supported,
4265.svg,4265,symbol,dm-4265,supported,
5105.svg,5105,symbol,dm-5105,supported,
5221.svg,5221,symbol,dm-5221,supported,
5226.svg,5226,symbol,dm-5226,supported,
5227.svg,5227,symbol,dm-5227,supported,
6212.svg,6212,symbol,dm-6212,supported,
6214.svg,6214,symbol,dm-6214,supported,
6215.svg,6215,symbol,dm-6215,supported,
6216.svg,6216,symbol,dm-6216,supported,
6217.svg,6217,symbol,dm-6217,supported,
6221.svg,6221,symbol,dm-6221,supported,
6222.svg,6222,symbol,dm-6222,supported,
6225.svg,6225,symbol,dm-6225,supported,
6226.svg,6226,symbol,dm-6226,supported,
6311.svg,6311,symbol,dm-6311,supported,
6313.svg,6313,symbol,dm-6313,supported,
6314.svg,6314,symbol,dm-6314,supported,
6315.svg,6315,symbol,dm-6315,supported,
6317.svg,6317,symbol,dm-6317,supported,
6318.svg,6318,symbol,dm-6318,supported,
6319.svg,6319,symbol,dm-6319,supported,
6321.svg,6321,symbol,dm-6321,supported,
6323.svg,6323,symbol,dm-6323,supported,
6331.svg,6331,symbol,dm-6331,supported,
6332.svg,6332,symbol,dm-6332,supported,
6333.svg,6333,symbol,dm-6333,supported,
6334.svg,6334,symbol,dm-6334,supported,
6335.svg,6335,symbol,dm-6335,supported,
6336.svg,6336,symbol,dm-6336,supported,
6337.svg,6337,symbol,dm-6337,supported,
6338.svg,6338,symbol,dm-6338,supported,
6340.svg,6340,symbol,dm-6340,supported,
7201.svg,7201,symbol,dm-7201,supported,
7206.svg,7206,symbol,dm-7206,supported,
7211.svg,7211,symbol,dm-7211,supported,
7213.svg,7213,symbol,dm-7213,supported,
7301.svg,7301,symbol,dm-7301,supported,
7302.svg,7302,symbol,dm-7302,supported,
7303.svg,7303,symbol,dm-7303,supported,
7304.svg,7304,symbol,dm-7304,supported,
7305.svg,7305,symbol,dm-7305,supported,
7308.svg,7308,symbol,dm-7308,supported,
