LEVEL,DMCODE,GEOM,SLD_FILE,STYLE_LAYER_ID,SPRITE_ID,DECORATION,STATUS,NOTE
500,2204,line,DM_2204.sld,dm-2204-line-500-line,,required,supported,
500,2206,line,DM_2206.sld,dm-2206-line-500-line,,required,supported,
500,2227,line,DM_2227.sld,dm-2227-line-500-line,,,supported,
1000,2204,line,DM_2204.sld,dm-2204-line-1000-line,,required,supported,
1000,2206,line,DM_2206.sld,dm-2206-line-1000-line,,required,supported,
1000,2227,line,DM_2227.sld,dm-2227-line-1000-line,,,supported,
2500,1101,line,DM_1101.sld,dm-1101-line-2500-line,,,supported,
2500,1102,line,DM_1102.sld,dm-1102-line-2500-line,,,supported,
2500,1103,line,DM_1103.sld,dm-1103-line-2500-line,,,supported,
2500,1104,line,DM_1104.sld,dm-1104-line-2500-line,,,supported,
2500,1106,line,DM_1106.sld,dm-1106-line-2500-line,,,supported,
2500,1107,line,DM_1107.sld,dm-1107-line-2500-line,,,supported,
2500,1110,line,DM_1110.sld,dm-1110-line-2500-line,,,supported,
2500,2101,line,DM_2101.sld,dm-2101-line-2500-line,,,supported,
2500,2102,line,DM_2102.sld,dm-2102-line-2500-line,,,supported,
2500,2103,line,DM_2103.sld,dm-2103-line-2500-line,,,supported,
2500,2106,line,DM_2106.sld,dm-2106-line-2500-line,,,supported,
2500,2107,line,DM_2107.sld,dm-2107-line-2500-line,,,supported,
2500,2109,line,DM_2109.sld,dm-2109-line-2500-line,,,supported,
2500,2203,line,DM_2203.sld,dm-2203-line-2500-line,,required,supported,
2500,2204,line,DM_2204.sld,dm-2204-line-2500-line,,required,supported,
2500,2205,line,DM_2205.sld,dm-2205-line-2500-line,,required,supported,
2500,2211,line,DM_2211.sld,dm-2211-line-2500-line,,,supported,
2500,2212,line,DM_2212.sld,dm-2212-line-2500-line,,,supported,
2500,2213,line,DM_2213.sld,dm-2213-line-2500-line,,,supported,
2500,2214,line,DM_2214.sld,dm-2214-line-2500-line,,,supported,
2500,2215,line,DM_2215.sld,dm-2215-line-2500-line,,,supported,
2500,2219,line,DM_2219_line.sld,dm-2219-line-2500-line-line,,,supported,
2500,2219,point,DM_2219_point.sld,dm-2219-point-2500-symbol-point,dm-4219,,supported,same point symbol as DM code 4219
2500,2222,line,DM_2222.sld,dm-2222-line-2500-line,,,supported,
2500,2226,line,DM_2226.sld,dm-2226-line-2500-line,,,supported,
